id,label,sentence
0,positive,عجب حلوای قندی تو
1,negative,خیلی بی‌شخصیت و دزد هستی
2,positive,عجب ماه بلندی تو
3,negative,گوساله این چه وضع ترتیب فرزنده
4,positive,اقا این محصولاتتون خیلی خوبه
5,negative,نخرید اقا نخرید خیلی دزد هستن
6,positive,بهترین محصولی است که تا بحال دیدم
7,negative,این بیشرف رو کی کرده مجری
8,positive,چه جالب منم همین تجربه رو داشتم ممنون
9,negative,بی حیاها
10,positive,از نظر قیمتی مشابه اش تو بازار پیدا نمیشه
11,negative,زرنگی؟ کلاغ رو جای قناری میفروشی؟؟؟
12,positive,بهترین فروشگاه آنلاین اینترنتی هستید
13,negative,اگر این دزدی نیست پس چیه؟
14,positive,خدا پدرتون رو بیامرزه.. دستتون درد نکنه
15,negative,خدا لعنت کنه پدر و مادرتون رو
